o,h,l,c,v,qav,num_trades
5513.0,5631.3,5490.26,5585.0,273.84836,1521592.46653204,1972.0
5570.24,5628.0,5490.26,5577.98,209.563461,1170951.63942781,1277.0
5577.99,5706.09,5555.0,5690.12,331.648168,1874042.53923351,2242.0
5710.0,5710.0,5620.0,5625.01,399.010504,2263082.89531418,2432.0
5624.99,5690.0,5600.0,5609.0,317.977937,1795972.81338625,1739.0
5608.99,5694.0,5600.03,5683.9,349.673677,1983726.4194898,1891.0
5683.31,5688.0,5632.01,5669.08,226.087202,1282772.10284176,1421.0
5669.08,5697.99,5600.0,5639.95,209.209002,1183076.4305533,1730.0
5639.96,5679.99,5611.32,5662.75,290.313225,1639228.89466643,1879.0
5662.75,5995.0,5602.86,5889.99,438.332289,2555899.00210742,2825.0
5889.99,6060.54,5878.03,6060.54,498.516093,2964310.44371391,2039.0
6060.91,6110.0,5937.01,6010.01,310.519409,1861265.31492378,1762.0
6013.72,6124.3,5960.0,6110.01,272.248566,1648164.09413252,1807.0
6110.02,6167.99,6000.0,6091.92,329.419679,2002826.91397635,1949.0
6091.92,6118.99,6072.06,6116.98,274.946412,1676347.04025795,1696.0
6116.98,6171.0,6075.39,6149.99,256.41799,1571053.13194922,1607.0
6149.99,6169.04,5850.03,6024.07,281.309752,1700624.70629496,1710.0
6024.09,6110.0,5994.0,6024.97,249.965294,1515805.55365251,1413.0
6003.27,6060.0,5911.02,5950.24,193.660742,1161579.90299867,1532.0
5950.18,5954.51,5770.0,5907.11,323.387194,1893920.30078613,1770.0
5907.13,5924.97,5720.03,5819.98,237.659443,1386358.58937198,1600.0
5819.98,6000.0,5770.04,5970.27,287.464729,1694052.70224259,1641.0
5970.3,6000.0,5832.07,5866.99,170.707574,1015517.50251771,1130.0
5879.03,6000.0,5833.38,5950.02,149.212534,883986.37543921,1173.0
5975.0,6000.02,5912.0,5950.25,262.320895,1564479.78714471,1658.0
5950.25,6080.0,5860.01,5865.05,203.202638,1208516.09095291,1916.0
